filing_id,accession,fraud_or_peer,cohort_id,cik,filing_date,report_date,n_sentences,score_mean,score_trimmed_mean,score_max
WCOM_fraud,0001005477-02-001226,fraud,WCOM,0000723527,2002-03-13,2001-12-31,685,0.001259,0.001260,0.002179
WCOM_peer_0000011107,0000950109-02-001581,peer,WCOM,0000011107,2002-03-25,2001-12-31,158,0.001416,0.001404,0.002523
WCOM_peer_0000018926,0000018926-02-000003,peer,WCOM,0000018926,2002-03-15,2001-12-31,325,0.001220,0.001215,0.002179
WCOM_peer_0000019719,0000950109-02-001582,peer,WCOM,0000019719,2002-03-25,2001-12-31,148,0.001416,0.001407,0.002523
WCOM_peer_0000019722,0000950109-02-001580,peer,WCOM,0000019722,2002-03-25,2001-12-31,151,0.001421,0.001409,0.002523
WCOM_peer_0000019724,0000950109-02-001584,peer,WCOM,0000019724,2002-03-25,2001-12-31,150,0.001424,0.001414,0.002523
WCOM_peer_0000019725,0000950109-02-001590,peer,WCOM,0000019725,2002-03-25,2001-12-31,156,0.001417,0.001406,0.002523
WCOM_peer_0000028729,0000950109-02-001585,peer,WCOM,0000028729,2002-03-25,2001-12-31,155,0.001418,0.001409,0.002523
WCOM_peer_0000040864,0000950109-02-001593,peer,WCOM,0000040864,2002-03-25,2001-12-31,146,0.001389,0.001379,0.002523
WCOM_peer_0000040865,0000950109-02-001594,peer,WCOM,0000040865,2002-03-25,2001-12-31,154,0.001397,0.001388,0.002588
WCOM_peer_0000040867,0000950109-02-001586,peer,WCOM,0000040867,2002-03-25,2001-12-31,163,0.001377,0.001368,0.002523
WCOM_peer_0000040874,0000950109-02-001579,peer,WCOM,0000040874,2002-03-25,2001-12-31,165,0.001386,0.001380,0.002523
WCOM_peer_0000040877,0000950109-02-001591,peer,WCOM,0000040877,2002-03-25,2001-12-31,152,0.001393,0.001385,0.002523
TYC_fraud,0000912057-01-544874,fraud,TYC,0000833444,2001-12-28,2001-09-30,296,0.001271,0.001259,0.002370
TYC_peer_0000824142,0001026608-02-000004,peer,TYC,0000824142,2002-03-19,2001-12-31,78,0.001261,0.001243,0.002492
TYC_peer_0000880591,0000880591-02-000004,peer,TYC,0000880591,2002-08-14,2001-01-31,234,0.001420,0.001411,0.002473
TYC_peer_0001005272,0000912057-01-533690,peer,TYC,0001005272,2001-09-27,2001-06-30,149,0.001248,0.001246,0.002139
TYC_peer_0001069202,0001116320-02-000064,peer,TYC,0001069202,2002-04-01,2001-12-31,231,0.001410,0.001414,0.002410
TYC_peer_0000007623,0000007623-02-000002,peer,TYC,0000007623,2002-02-28,2001-11-30,119,0.001301,0.001290,0.002342
TYC_peer_0000008146,0000927016-01-500246,peer,TYC,0000008146,2001-04-18,2001-01-31,108,0.001359,0.001346,0.002491
TYC_peer_0000012355,0000012355-02-000007,peer,TYC,0000012355,2002-02-28,2001-12-31,221,0.001280,0.001275,0.002245
TYC_peer_0000014930,0000950137-02-001164,peer,TYC,0000014930,2002-03-08,2001-12-31,314,0.001379,0.001367,0.002484
TYC_peer_0000018061,0000912057-01-511762,peer,TYC,0000018061,2001-05-01,2001-01-31,127,0.001169,0.001163,0.002165
TYC_peer_0000019871,0000950137-02-001604,peer,TYC,0000019871,2002-03-26,2001-12-31,119,0.001308,0.001306,0.002076
TYC_peer_0000024008,0000950152-02-002538,peer,TYC,0000024008,2002-03-29,2001-12-31,103,0.001195,0.001195,0.001806
TYC_peer_0000026324,0000950117-02-000522,peer,TYC,0000026324,2002-03-18,2001-12-31,169,0.001768,0.001770,0.002711
HRC_fraud,0001005150-02-000448,fraud,HRC,0000785161,2002-03-27,2001-12-31,268,0.001266,0.001268,0.002204
HRC_peer_0000820474,0000892569-02-000552,peer,HRC,0000820474,2002-03-22,2001-12-31,87,0.001253,0.001246,0.002175
HRC_peer_0000893949,0000950144-02-003022,peer,HRC,0000893949,2002-03-29,2001-12-31,189,0.001238,0.001225,0.002663
HRC_peer_0000005197,0001116502-02-000019,peer,HRC,0000005197,2002-01-10,2001-06-30,70,0.001347,0.001354,0.002186
HRC_peer_0000022872,0000950144-01-506401,peer,HRC,0000022872,2001-08-24,2001-05-31,132,0.001185,0.001180,0.002026
HRC_peer_0000070318,0000912057-01-529717,peer,HRC,0000070318,2001-08-21,2001-05-31,414,0.001774,0.001782,0.002699
HRC_peer_0000096793,0000950144-01-504160,peer,HRC,0000096793,2001-06-29,2001-03-31,108,0.001307,0.001311,0.001996
HRC_peer_0000352915,0000928385-02-001053,peer,HRC,0000352915,2002-03-26,2001-12-31,329,0.001488,0.001490,0.002337
HRC_peer_0000731012,0000950116-02-000413,peer,HRC,0000731012,2002-03-21,2001-12-31,132,0.001159,0.001160,0.001878
HRC_peer_0000732247,0001142207-04-000098,peer,HRC,0000732247,2004-03-31,2001-12-31,98,0.001283,0.001277,0.002287
HRC_peer_0000737561,0000737561-02-000002,peer,HRC,0000737561,2002-02-06,2001-09-30,138,0.001367,0.001368,0.002387
HRC_peer_0000739944,0000739944-02-000006,peer,HRC,0000739944,2002-03-28,2001-12-31,167,0.001164,0.001150,0.002393
VRX_fraud,0000885590-15-000015,fraud,VRX,0000885590,2015-02-25,2014-12-31,566,0.001295,0.001270,0.002950
VRX_peer_0000001800,0001047469-15-001377,peer,VRX,0000001800,2015-02-27,2014-12-31,434,0.001550,0.001540,0.002656
VRX_peer_0000014272,0000014272-15-000055,peer,VRX,0000014272,2015-02-13,2014-12-31,515,0.001498,0.001472,0.003190
VRX_peer_0000025743,0001387131-15-000875,peer,VRX,0000025743,2015-03-12,2014-12-31,257,0.001398,0.001375,0.002619
VRX_peer_0000034956,0001354488-14-003782,peer,VRX,0000034956,2014-07-29,2014-04-30,108,0.001206,0.001186,0.002656
VRX_peer_0000057725,0001104659-14-063906,peer,VRX,0000057725,2014-08-29,2014-06-30,318,0.001281,0.001269,0.002557
VRX_peer_0000059478,0000059478-15-000100,peer,VRX,0000059478,2015-02-19,2014-12-31,402,0.001426,0.001399,0.003051
VRX_peer_0000072170,0001144204-15-022924,peer,VRX,0000072170,2015-04-15,2014-12-31,66,0.001098,0.001098,0.001638
VRX_peer_0000078003,0000078003-15-000014,peer,VRX,0000078003,2015-02-27,2014-12-31,25,0.001349,0.001350,0.001819
VRX_peer_0000200406,0000200406-15-000004,peer,VRX,0000200406,2015-02-24,2014-12-28,160,0.001553,0.001546,0.002658
VRX_peer_0000275053,0001104659-15-019269,peer,VRX,0000275053,2015-03-13,2014-12-31,397,0.001259,0.001251,0.002116
